X,Y,fid,Postcode,OBJECTID,SCHOOL_NAM,SHORT,ID
326215,674460,230,EH1 3AZ,1,Abbeyhill Primary School,Abbeyhill,230
326173,674036,234,EH1 3DE,1,Abbeyhill Primary School,Abbeyhill,234
326198,674182,11080,EH7 5AA,1,Abbeyhill Primary School,Abbeyhill,11035
326397,674376,11081,EH7 5AB,1,Abbeyhill Primary School,Abbeyhill,11036
326633,674360,11084,EH7 5AH,1,Abbeyhill Primary School,Abbeyhill,11039
326899,674379,11087,EH7 5AN,1,Abbeyhill Primary School,Abbeyhill,11042
326954,674477,11088,EH7 5AP,1,Abbeyhill Primary School,Abbeyhill,11043
326518,674367,11089,EH7 5AQ,1,Abbeyhill Primary School,Abbeyhill,11044
326984,674535,11090,EH7 5AR,1,Abbeyhill Primary School,Abbeyhill,11045
327015,674532,11091,EH7 5AS,1,Abbeyhill Primary School,Abbeyhill,11046
326992,674468,11092,EH7 5AT,1,Abbeyhill Primary School,Abbeyhill,11047
327021,674534,11093,EH7 5AU,1,Abbeyhill Primary School,Abbeyhill,11048
326932,674427,11094,EH7 5AW,1,Abbeyhill Primary School,Abbeyhill,11049
327047,674520,11095,EH7 5AX,1,Abbeyhill Primary School,Abbeyhill,11050
327029,674461,11096,EH7 5AY,1,Abbeyhill Primary School,Abbeyhill,11051
327050,674526,11097,EH7 5AZ,1,Abbeyhill Primary School,Abbeyhill,11052
327080,674514,11098,EH7 5BA,1,Abbeyhill Primary School,Abbeyhill,11053
327111,674502,11101,EH7 5BG,1,Abbeyhill Primary School,Abbeyhill,11056
326398,674038,11103,EH7 5BL,1,Abbeyhill Primary School,Abbeyhill,11058
326593,674132,11104,EH7 5BN,1,Abbeyhill Primary School,Abbeyhill,11059
327090,674448,11106,EH7 5BQ,1,Abbeyhill Primary School,Abbeyhill,11061
326711,674214,11107,EH7 5BS,1,Abbeyhill Primary School,Abbeyhill,11062
326547,674093,11109,EH7 5BW,1,Abbeyhill Primary School,Abbeyhill,11064
326716,674274,11110,EH7 5BY,1,Abbeyhill Primary School,Abbeyhill,11065
326702,674285,11111,EH7 5BZ,1,Abbeyhill Primary School,Abbeyhill,11066
326763,674325,11112,EH7 5DA,1,Abbeyhill Primary School,Abbeyhill,11067
326739,674306,11113,EH7 5DB,1,Abbeyhill Primary School,Abbeyhill,11068
326792,674352,11114,EH7 5DD,1,Abbeyhill Primary School,Abbeyhill,11069
326997,674421,11115,EH7 5DJ,1,Abbeyhill Primary School,Abbeyhill,11070
326961,674358,11116,EH7 5DL,1,Abbeyhill Primary School,Abbeyhill,11071
327008,674354,11117,EH7 5DN,1,Abbeyhill Primary School,Abbeyhill,11072
327048,674403,11118,EH7 5DP,1,Abbeyhill Primary School,Abbeyhill,11073
326984,674436,11119,EH7 5DR,1,Abbeyhill Primary School,Abbeyhill,11074
327034,674367,11120,EH7 5DW,1,Abbeyhill Primary School,Abbeyhill,11075
326382,674459,11121,EH7 5DX,1,Abbeyhill Primary School,Abbeyhill,11076
327249,674714,11135,EH7 5EU,1,Abbeyhill Primary School,Abbeyhill,11090
327245,674717,11139,EH7 5FA,1,Abbeyhill Primary School,Abbeyhill,11094
327686,674502,11148,EH7 5FP,1,Abbeyhill Primary School,Abbeyhill,11103
327280,674319,11149,EH7 5FQ,1,Abbeyhill Primary School,Abbeyhill,11104
327284,674322,11150,EH7 5FR,1,Abbeyhill Primary School,Abbeyhill,11105
327283,674321,11151,EH7 5FS,1,Abbeyhill Primary School,Abbeyhill,11106
326195,674467,11181,EH7 5JH,1,Abbeyhill Primary School,Abbeyhill,11136
326945,674527,11251,EH7 5RG,1,Abbeyhill Primary School,Abbeyhill,11206
326960,674635,11252,EH7 5RH,1,Abbeyhill Primary School,Abbeyhill,11207
326954,674570,11257,EH7 5RQ,1,Abbeyhill Primary School,Abbeyhill,11212
327156,674667,11259,EH7 5RS,1,Abbeyhill Primary School,Abbeyhill,11214
327161,674590,11260,EH7 5RX,1,Abbeyhill Primary School,Abbeyhill,11215
327173,674503,11261,EH7 5RY,1,Abbeyhill Primary School,Abbeyhill,11216
327144,674507,11262,EH7 5RZ,1,Abbeyhill Primary School,Abbeyhill,11217
327141,674503,11263,EH7 5SA,1,Abbeyhill Primary School,Abbeyhill,11218
327114,674509,11264,EH7 5SB,1,Abbeyhill Primary School,Abbeyhill,11219
327095,674604,11265,EH7 5SD,1,Abbeyhill Primary School,Abbeyhill,11220
327046,674614,11266,EH7 5SE,1,Abbeyhill Primary School,Abbeyhill,11221
326994,674620,11267,EH7 5SF,1,Abbeyhill Primary School,Abbeyhill,11222
326991,674591,11268,EH7 5SG,1,Abbeyhill Primary School,Abbeyhill,11223
327067,674372,11269,EH7 5SJ,1,Abbeyhill Primary School,Abbeyhill,11224
327152,674407,11270,EH7 5SN,1,Abbeyhill Primary School,Abbeyhill,11225
327149,674446,11271,EH7 5SP,1,Abbeyhill Primary School,Abbeyhill,11226
327172,674497,11272,EH7 5SR,1,Abbeyhill Primary School,Abbeyhill,11227
327219,674527,11273,EH7 5SS,1,Abbeyhill Primary School,Abbeyhill,11228
327191,674470,11274,EH7 5ST,1,Abbeyhill Primary School,Abbeyhill,11229
327231,674433,11275,EH7 5SU,1,Abbeyhill Primary School,Abbeyhill,11230
327116,674445,11276,EH7 5SW,1,Abbeyhill Primary School,Abbeyhill,11231
327303,674347,11277,EH7 5SY,1,Abbeyhill Primary School,Abbeyhill,11232
327348,674292,11278,EH7 5TA,1,Abbeyhill Primary School,Abbeyhill,11233
327416,674276,11279,EH7 5TD,1,Abbeyhill Primary School,Abbeyhill,11234
327373,674341,11280,EH7 5TE,1,Abbeyhill Primary School,Abbeyhill,11235
