shapeid,partid,x,y,fid,Name,ID
0,,316392.6942,666789.6619,1,Balerno,1
1,,324227.4932,672643.0129,2,Boroughmuir,2
2,,323814.2153,674841.6335,3,Broughton,3
3,,329257.6502,671300.532,4,Castlebrae,4
4,,318605.2102,673215.4163,5,Craigmount ,5
5,,321804.304,676319.9313,6,Craigroyston,6
6,,317464.4377,667766.6024,7,Currie,7
7,,325789.612,674808.4637,8,Drummond,8
8,,322818.2245,669802.0634,9,Firrhill,9
9,,319514.0182,671626.403,10,Forrester,10
10,,328087.5179,668485.1323,11,Gracemount,11
11,,325108.9585,672153.0858,12,James Gillespie,12
12,,327282.4776,675472.7564,13,Leith,13
13,,328079.4496,669659.0746,14,Liberton,14
14,,330557.3241,672950.9543,15,Portobello,15
15,,313668.9596,677832.2954,16,Queensferry,16
16,,319908.0218,675271.9446,17,Royal High,17
17,,325533.4425,676607.2536,18,Trinity,18
18,,323269.827,672540.3658,19,Tynecastle,19
19,,319441.6274,670112.6942,20,Wester Hailes,20
