shapeid,partid,x,y,fid,Postcode,OBJECTID,EST_NAME,ADD_1
0,,316740,662780,1,EH147JS,1,Balerno Community High School,"5 Bridge Road, Balerno"
1,,316599,664379,2,EH147JT,1,Balerno Community High School,"5 Bridge Road, Balerno"
2,,316716,664903,3,EH147JU,1,Balerno Community High School,"5 Bridge Road, Balerno"
3,,316523,665387,4,EH147JX,1,Balerno Community High School,"5 Bridge Road, Balerno"
4,,316137,665502,5,EH147EP,1,Balerno Community High School,"5 Bridge Road, Balerno"
5,,316281,665597,6,EH147EW,1,Balerno Community High School,"5 Bridge Road, Balerno"
6,,316255,665622,7,EH147HB,1,Balerno Community High School,"5 Bridge Road, Balerno"
7,,316387,665659,8,EH147EN,1,Balerno Community High School,"5 Bridge Road, Balerno"
8,,316196,665660,9,EH147HD,1,Balerno Community High School,"5 Bridge Road, Balerno"
9,,316363,665683,10,EH147EZ,1,Balerno Community High School,"5 Bridge Road, Balerno"
10,,316709,665696,11,EH147JY,1,Balerno Community High School,"5 Bridge Road, Balerno"
11,,316271,665708,12,EH147EY,1,Balerno Community High School,"5 Bridge Road, Balerno"
12,,316390,665763,13,EH147LF,1,Balerno Community High School,"5 Bridge Road, Balerno"
13,,316320,665784,14,EH147HA,1,Balerno Community High School,"5 Bridge Road, Balerno"
14,,316246,665839,15,EH147ES,1,Balerno Community High School,"5 Bridge Road, Balerno"
15,,316330,665850,16,EH147JZ,1,Balerno Community High School,"5 Bridge Road, Balerno"
16,,316205,665859,17,EH147ER,1,Balerno Community High School,"5 Bridge Road, Balerno"
17,,316409,665869,18,EH147EL,1,Balerno Community High School,"5 Bridge Road, Balerno"
18,,317978,665661,19,EH147AS,1,Balerno Community High School,"5 Bridge Road, Balerno"
19,,317397,665363,20,EH147AU,1,Balerno Community High School,"5 Bridge Road, Balerno"
20,,317072,665674,21,EH147AX,1,Balerno Community High School,"5 Bridge Road, Balerno"
21,,316858,665642,22,EH147AY,1,Balerno Community High School,"5 Bridge Road, Balerno"
22,,316812,665838,23,EH147AZ,1,Balerno Community High School,"5 Bridge Road, Balerno"
23,,317463,665397,24,EH147BF,1,Balerno Community High School,"5 Bridge Road, Balerno"
24,,316741,665960,25,EH147BJ,1,Balerno Community High School,"5 Bridge Road, Balerno"
25,,316924,665543,26,EH147LB,1,Balerno Community High School,"5 Bridge Road, Balerno"
26,,316951,665643,27,EH147LD,1,Balerno Community High School,"5 Bridge Road, Balerno"
27,,315507,666036,28,EH147BE,1,Balerno Community High School,"5 Bridge Road, Balerno"
28,,315599,666201,29,EH147BD,1,Balerno Community High School,"5 Bridge Road, Balerno"
29,,315707,666203,30,EH147ND,1,Balerno Community High School,"5 Bridge Road, Balerno"
30,,315720,665984,31,EH147NA,1,Balerno Community High School,"5 Bridge Road, Balerno"
31,,315768,665753,32,EH147LU,1,Balerno Community High School,"5 Bridge Road, Balerno"
32,,315785,666279,33,EH147NB,1,Balerno Community High School,"5 Bridge Road, Balerno"
33,,315786,665930,34,EH147LX,1,Balerno Community High School,"5 Bridge Road, Balerno"
34,,315821,665616,35,EH147LT,1,Balerno Community High School,"5 Bridge Road, Balerno"
35,,315826,666108,36,EH147NE,1,Balerno Community High School,"5 Bridge Road, Balerno"
36,,315835,666192,37,EH147BB,1,Balerno Community High School,"5 Bridge Road, Balerno"
37,,315861,665819,38,EH147HS,1,Balerno Community High School,"5 Bridge Road, Balerno"
38,,315862,665493,39,EH147HX,1,Balerno Community High School,"5 Bridge Road, Balerno"
39,,315867,665876,40,EH147HT,1,Balerno Community High School,"5 Bridge Road, Balerno"
